original,corrected
جیببری,جیب بری
زمینگرد,زمین گرد
تندیسگر,تندیس گر
واداشته,وا داشته
ویدئوهای,ویدئو های
میارزه,می ارزه
بچهی,بچه ی
ناهماهنگ,نا هماهنگ
قارهی,قاره ی
سردستهی,سردسته ی
ظرفها,ظرف ها
میپسندی,می پسندی
میپسندید,می پسندید
میگذراند,می گذراند
ننهاده_بود,ننهاده بود
مبارزهی,مبارزه ی
رشتهای,رشته ای
تقتق,تق تق
میلرزید,می لرزید
کلافهام,کلافه ام
پردرخشش,پر درخشش
فوتبالیستها,فوتبالیست ها
نسنجیدهی,نسنجیده ی
شپیورها,شپیور ها
ناهنجاری,نا هنجاری
خواهیم_رفت,خواهیم رفت
عادتهای,عادت های
درمانهای,درمان های
آزمایشهای,آزمایش های
لطفالله,لطف الله
جوانترین,جوان ترین
حوصلهات,حوصله ات
علمهای,علم های
هرکدومتون,هر کدومتون
میترسی,می ترسی
گلفروشی,گل فروشی
یافتههای,یافته های
درحال,در حال
رسیده_بودند,رسیده بودند
نخواهد_این,نخواهد این
خواسته_ایم,خواسته ایم
خواهی_،,خواهی
کفشهایتان,کفش هایتان
درآورید,در آورید
مارکدار,مارک دار
خواهیم_کمی,خواهیم کمی
خمهای,خم های
بیرمق,بی رمق
خستهکنندهای,خسته کننده ای
خشخش,خش خش
اسبسواری,اسب سواری
تازهکار,تازه کار
گفته_نشده_بود,گفته نشده بود
گربهها,گربه ها
صددرصد,صد در صد
لایهای,لایه ای
حولهی,حوله ی
الهامانگیز,الهام انگیز
شنیده_شد,شنیده شد
صرفنظرکردن,صرف نظر کردن
فاجعهی,فاجعه ی
فیلها,فیل ها
چالهی,چاله ی
دوردست,دور دست
بیمعرفتی,بی معرفتی
نمیشناسد,نمی شناسد
احمقانهی,احمقانه ی
زمینگیر,زمین گیر
گذشته_است,گذشته است
حشرهای,حشره ای
رنگسایههای,رنگ سایه های
سرگرمیهای,سرگرمی های
دورافتادهای,دورافتاده ای
عروسکهای,عروسک های
تاکسیهای,تاکسی های
تعارضهایی,تعارض هایی
بیمهی,بیمه ی
یافته_بود,یافته بود
اجارهی,اجاره ی
پابهپای,پا به پای
خانوادهها,خانواده ها
بنابر,بنا بر
صندلیهای,صندلی های
خوانندهای,خواننده ای
برمیگردم,بر می گردم
تپهای,تپه ای
بیحرمتی,بی حرمتی
شیرجهزنان,شیرجه زنان
هشیوار,هشی وار
باهنگ,به اهنگ
میسنجد,می سنجد
گذاشته_شد,گذاشته شد
سفیدتر,سفید تر
برگرفتن,بر گرفتن
بیقواره,بی قواره
درهی,دره ی
پاداشها,پاداش ها
برداشتند,بر داشتند
حدسهای,حدس های
مکاتبهی,مکاتبه ی
مناظرهی,مناظره ی
خوشیهای,خوشی های
شکلهای,شکل های
فراگرفت,فرا گرفت
صداهایی,صدا هایی
غضروفها,غضروف ها
رسانده_است,رسانده است
گرایشهای,گرایش های
بوسیلهٔ,به وسیلهٔ
سپهدار,سپه دار
سگالشگری,سگالش گری
انباشته_شده_است,انباشته شده است
بیشایبه,بی شایبه
پیشینهی,پیشینه ی
دیردرمانی,دیر درمانی
فریبآمیز,فریب آمیز
نیرنگآمیز,نیرنگ آمیز
مغازهاش,مغازه اش
چشمچرانی,چشم چرانی
آیندهنگر,آینده نگر
بعضیاوقات,بعضی اوقات
توهمزا,توهم زا
هیچکسی,هیچ کسی
خواهیم_2,خواهیم
همنشین,هم نشین
میپوشین,می پوشین
خواهید_–,خواهید
پربها,پر بها
دیروزهای,دیروز های
سفها,سف ها
پشمچینی,پشم چینی
بیدستر,بی دستر
خمیرهی,خمیره ی
ندارد;,ندارد
تحصیلکرده,تحصیل کرده
طنینافکن,طنین افکن
میکدهها,میکده ها
آورده_شد,آورده شد
خیانتکار,خیانت کار
مینامیدند,می نامیدند
آیینهی,آیینه ی
شورتیگری,شورتی گری
ضمیمههای,ضمیمه های
پراستقامت,پر استقامت
اوجگیری,اوج گیری
سنهی,سنه ی
سنگها,سنگ ها
نمیخواست,نمی خواست
میریختند,می ریختند
کلاهها,کلاه ها
تندیسهای,تندیس های
میپرستیدند,می پرستیدند
برکردن,بر کردن
نادرشاه,نادر شاه
نخواهم_داد,نخواهم داد
هیچجا,هیچ جا
حسینیهاست,حسینیه است
نااهل,نا اهل
پرگویی,پر گویی
نمیزنند,نمی زنند
چوبهای,چوب های
رابطهای,رابطه ای
گذشتهنگر,گذشته نگر
نمیباشد,نمی باشد
رژهی,رژه ی
گیاهوار,گیاه وار
برسرش,بر سرش
لکهدار,لکه دار
جایگاههای,جایگاه های
خودتراش,خود تراش
یقهی,یقه ی
تاوهی,تاوه ی
چینهای,چین های
زیرچانهی,زیرچانه ی
چنانکه,چنان که
گفته_شد,گفته شد
خواهیم_فرستاد,خواهیم فرستاد
حصهای,حصه ای
ناحیهی,ناحیه ی
شماطهدار,شماطه دار
نخواهد_آمد,نخواهد آمد
پریپچ,پر یپچ
دهگانه,ده گانه
دیوارهی,دیواره ی
پرچانگی,پر چانگی
کلاسها,کلاس ها
آمیخته_بود,آمیخته بود
تراشامهی,تراشامه ی
روزنامهنگاری,روزنامه نگاری
اشارهای,اشاره ای
فریبکاری,فریب کاری
نمرهی,نمره ی
سرخاراندن,سر خاراندن
ضررهای,ضرر های
معاضدتآمیز,معاضدت آمیز
خونسردانهی,خونسردانه ی
خواهم_تست,خواهم تست
همنوایی,هم نوایی
عباسخان,عباس خان
افراطآمیز,افراط آمیز
میفرساید,می فرساید
نقاشیهای,نقاشی های
نهرها,نهر ها
میشناختند,می شناختند
محنتبار,محنت بار
ککمک,کک مک
نگذشته_است,نگذشته است
مرده_باشد,مرده باشد
مینگریستند,می نگریستند
سرهای,سر های
میلنگید,می لنگید
تابشگری,تابش گری
استعدادهایی,استعداد هایی
جوابهای,جواب های
پرواگری,پروا گری
تاریخگذاری,تاریخ گذاری
زنجیرهای,زنجیره ای
پایهگذاران,پایه گذاران
باغوحش,باغ وحش
پراکنترین,پراکن ترین
سپرده_شده_است,سپرده شده است
ببریدهاند,ببریده اند
ميتونم,مي تونم
ميكنه,مي كنه
ميخوايي,مي خوايي
ميرفت,مي رفت
کني-,کني
درنياوردي,در نياوردي
همينجوري,همين جوري
پراکنده_شدند,پراکنده شدند
میفروشید,می فروشید
زادهی,زاده ی
زمیندار,زمین دار
بیشعور,بی شعور
برکنشی,بر کنشی
رویهمرفته,روی هم رفته
افشاگری,افشا گری
پنجشنبهها,پنج شنبه ها
گفتهی,گفته ی
زیبندهی,زیبنده ی
برگردان,بر گردان
خواهم_مزاحم,خواهم مزاحم
تاقچهی,تاقچه ی
درخواستم,در خواستم
پیشهی,پیشه ی
دندانشکن,دندان شکن
بیاحتیاطی,بی احتیاطی
پروندهها,پرونده ها
چالهای,چاله ای
سیارهی,سیاره ی
منظومهی,منظومه ی
نداده_بودند,نداده بودند
سپیدهدم,سپیده دم
پرتصنعی,پر تصنعی
پیبرد,پی برد
قرصهای,قرص های
دشتهای,دشت های
ستمگرانهی,ستمگرانه ی
دربسته,در بسته
ژنها,ژن ها
بامزهای,بامزه ای
درشتتر,درشت تر
میکندند,می کندند
خرکاری,خر کاری
سدهی,سده ی
همجوار,هم جوار
آزرده_است,آزرده است
منشانهای,منشان های
رایحهی,رایحه ی
خردهگیر,خرده گیر
بیمیل,بی میل
جرعههای,جرعه های
رندهی,رنده ی
غافلگیر,غافل گیر
پروردگاه,پرورد گاه
نبردها,نبرد ها
چرکتاب,چرک تاب
بیباک,بی باک
نمیزند,نمی زند
پوشیده_شده_است,پوشیده شده است
حرامزاده,حرام زاده
فداکارانهی,فداکارانه ی
محرمانهی,محرمانه ی
پرمخاطره,پر مخاطره
بندهای,بند های
مینمود,می نمود
برچسب,بر چسب
بنبست,بن بست
صورتهای,صورت های
میدمید,می دمید
جتهای,جت های
تلفنچی,تلفن چی
میتوانستی,می توانستی
میتوانستید,می توانستید
پیشگوییهای,پیشگویی های
ذرهبین,ذره بین
کالاها,کالا ها
جلدهای,جلد های
کهبه,که به
دهاندرهی,دهان دره ی
مسالمتآمیز,مسالمت آمیز
وزرات,وزارت
خارجهی,خارجه ی
دیپلماتهای,دیپلمات های
دوچرخهاش,دوچرخه اش
دربرداشته,در بر داشته
خواهی_یک,خواهی یک
ناشکیبایی,نا شکیبایی
جزیرههای,جزیره های
نميشم,نمي شم
خواهم_لحظه,خواهم لحظه
جوخهی,جوخه ی
ناآشنا,نا آشنا
خشمآلود,خشم آلود
اندرکار,اندر کار
جزیرهای,جزیره ای
بازارها,بازار ها
میجوشند,می جوشند
گازدود,گاز دود
معجرهآسای,معجره آسای
روبانهای,روبان های
وحشتانگیز,وحشت انگیز
پارچههایی,پارچه هایی
بهشدت,به شدت
رایدهندگان,رای دهندگان
بیتجربه,بی تجربه
بدشگون,بد شگون
معلولیتها,معلولیت ها
ورطهای,ورطه ای
صداگیر,صدا گیر
صداخفه,صدا خفه
نهفتهای,نهفته ای
گفته_نشد,گفته نشد
اطلاعیهی,اطلاعیه ی
دورهی,دوره ی
بهخاطر,به خاطر
اضافهی,اضافه ی
برانداختند,بر انداختند
کهنهی,کهنه ی
اعجوبهای,اعجوبه ای
قانونها,قانون ها
روشنبینانه,روشن بینانه
وانمود,وا نمود
شکستها,شکست ها
پولداره,پول داره
بیملاحظه,بی ملاحظه
کارخانهها,کارخانه ها
میفرمایید,می فرمایید
نابارور,نا بارور
برنیامد,بر نیامد
فوارهای,فواره ای
پرشدگی,پر شدگی
بیهوشی,بی هوشی
دانشجوها,دانشجو ها
بیگاه,بی گاه
گریزانهی,گریزانه ی
شرارتهایش,شرارت هایش
آهنهای,آهن های
میانهی,میانه ی
پرتلفات,پر تلفات
نمنم,نم نم
حادثهی,حادثه ی
خطدار,خط دار
ترازهی,ترازه ی
پرتابگر,پرتاب گر
برآسمان,بر آسمان
بیرودربایستی,بی رودربایستی
کنارهی,کناره ی
عقبافتادگی,عقب افتادگی
کوخنشین,کوخ نشین
بتهدار,بته دار
تسویهی,تسویه ی
نیزهی,نیزه ی
دورهگرد,دوره گرد
برمیخورد,بر می خورد
طلاها,طلا ها
زوزهی,زوزه ی
قایقها,قایق ها
میاومدن,می اومدن
درسهای,درس های
میگردونه,می گردونه
باباقاسم,بابا قاسم
تجویزهای,تجویز های
سوگیریهای,سوگیری های
بیشماری,بی شماری
سلولها,سلول ها
فَکهام,فَک هام
جذابتر,جذاب تر
نگفته_بودم,نگفته بودم
نمیدونی,نمی دونی
جثهی,جثه ی
نوشتهای,نوشته ای
تختههای,تخته های
تابهای,تابه ای
غیرکلامی,غیر کلامی
معنیدار,معنی دار
سخنرانیهای,سخنرانی های
پردازانهای,پردازانه ای
پالتوهای,پالتو های
جرقهها,جرقه ها
اولیهی,اولیه ی
تواناییهای,توانایی های
زخمهای,زخم های
جازد,جا زد
پدیدههای,پدیده های
فرازشونده,فراز شونده
رابشناسد,را بشناسد
تشخصآور,تشخص آور
تخمها,تخم ها
میستودند,می ستودند
شیبانیها,شیبانی ها
شیرینیهایی,شیرینی هایی
دمکراتها,دمکرات ها
گرفته_باشد,گرفته باشد
فرافکن,فرا فکن
تیراندازیهای,تیراندازی های
مقولهها,مقوله ها
قدیمیترین,قدیمی ترین
نگاههای,نگاه های
کنجکاوانهی,کنجکاوانه ی
میرنجاند,می رنجاند
انداختهای,انداخته ای
دنبالهرو,دنباله رو
جورابها,جوراب ها
دستپاچگی,دست پاچگی
صدمهای,صدمه ای
میپذیرد,می پذیرد
همآمیزی,هم آمیزی
بمبها,بمب ها
شیرینکاری,شیرین کاری
هممیهنانش,هم میهنانش
ظرفشویی,ظرف شویی
بربیایی,بر بیایی
آورندهی,آورنده ی
بیشنمایی,بیش نمایی
گازهای,گاز های
بیاید;,بیاید
لکزده,لک زده
واگیردار,واگیر دار
میگردی,می گردی
چاییساز,چایی ساز
ایزوتوپهای,ایزوتوپ های
ناپایا,نا پایا
برندهی,برنده ی
قهوهخوری,قهوه خوری
ترکهای,ترک های
همعقیدهام,هم عقیده ام
گنهکار,گنه کار
خودفروش,خود فروش
ستمگران,ستم گران
جنهای,جن های
نظرخواهیها,نظرخواهی ها
بازتابگر,بازتاب گر
یکشنبهها,یک شنبه ها
عصارهی,عصاره ی
میآمیزد,می آمیزد
ردیفهی,ردیفه ی
چندسان,چند سان
ایرانیالاصل,ایرانی الاصل
ناشایست,نا شایست
انکارناپذیر,انکار نا پذیر
فرآوردههای,فرآورده های
منظرهای,منظره ای
بدجنسی,بد جنسی
شیشههای,شیشه های
روانپالشی,روان پالشی
نگهمیدارم,نگه میدارم
نمیتوانستیم,نمی توانستیم
روبراه,رو به راه
قاعدهی,قاعده ی
متساویالساقین,متساوی الساقین
فرونشاندن,فرو نشاندن
علنیتر,علنی تر
خانوداهاش,خانوداه اش
خالدار,خال دار
عجیبالخلقه,عجیب الخلقه
پوشیده_شده_بودند,پوشیده شده بودند
توافقنامهی,توافق نامه ی
کلاغها,کلاغ ها
قارقار,قار قار
قهوهایاند,قهوه های اند
کمیتهی,کمیته ی
پرطنینی,پر طنینی
ناشناختهها,نا شناخته ها
میبالد,می بالد
توهینهای,توهین های
سختگیرانه,سخت گیرانه
زیستشناسی,زیست شناسی
برجکهای,برجک های
پوشیدهای,پوشیده ای
تاریخها,تاریخ ها
میکندم,می کندم
روکشدار,روکش دار
عالیهی,عالیه ی
ماهیهای,ماهی های
نردهکشی,نرده کشی
صدمتری,صد متری
آشغالدونی,آشغال دونی
وفادار,وفا دار
غیرواقعی,غیر واقعی
تضادها,تضاد ها
آشتیناپذیر,آشتی نا پذیر
موشکافانهی,مو شکافانه ی
اظهاریهی,اظهاریه ی
کشتزار,کشت زار
برمیگیرند,بر می گیرند
رانده_بود,رانده بود
نمیگوید,نمی گوید
دشوارتر,دشوار تر
توبهآمیز,توبه آمیز
زایدههای,زایده های
جسورانهای,جسورانه ای
لفافپیچی,لفاف پیچی
موزههای,موزه های
سیمهای,سیم های
هزگز,هرگز
حکفرماست,حکم فرماست
پرفروشترین,پرفروش ترین
بیرحمی,بی رحمی
عرضحال,عرض حال
صمیمانهی,صمیمانه ی
چیندار,چین دار
عهدکرد,عهد کرد
ماهیفروش,ماهی فروش
مکالمهای,مکالمه ای
فرادادن,فرا دادن
سرخپوستان,سرخ پوستان
هدیهای,هدیه ای
میپنداشت,می پنداشت
گوشتکوب,گوشت کوب
برگزینند,بر گزینند
هستهی,هسته ی
بتهها,بته ها
خواهید_بود,خواهید بود
قلعهی,قلعه ی
پدیدهها,پدیده ها
نمیتوانندخودشان,نمی توانند خودشان
شهرهی,شهره ی
خبرها,خبر ها
شیردادن,شیر دادن
موفقیتآمیزی,موفقیت آمیزی
شکستهایی,شکست هایی
میگرداند,می گرداند
نکتهای,نکته ای
دورپرواز,دور پرواز
خواهی_کردند,خواهی کردند
هدفیاب,هدف یاب
میدوید,می دوید
نانواییها,نانوایی ها
زانوهایش,زانو هایش
درهها,دره ها
فغانهای,فغان های
ملاحظهکاریهایی,ملاحظه کاری هایی
دستهجمعی,دسته جمعی
خویشتنداری,خویشتن داری
دشنامهای,دشنام های
دولتشاه,دولت شاه
دردهانم,درد هایم
گوسفندهای,گوسفند های
اروندرود,اروند رود
بیقرار,بی قرار
اندازههای,اندازه های
بچههایشان,بچه هایشان
صبحگاهی,صبح گاهی
یافتهاند,یافته اند
پیراهنهای,پیراهن های
الکترولیتها,الکترولیت ها
درنمیآورم,در نمی آورم
عرفهای,عرف های
بگومگو,بگو مگو
دستبافت,دست بافت
قالیهای,قالی های
ناصیهاش,ناصی هاش
بنپارههای,بن پاره های
دوبارهی,دوباره ی
سیبها,سیب ها
عدلبندی,عدل بندی
آسایشگاه,آسایش گاه
پسرجون,پسر جون
ميکردم,مي کردم
باورنکردني,باور نکردني
سرويسهاي,سرويس هاي
برگرديم,بر گرديم
چيکار,چي کار
ميزنه,مي زنه
ميکني,مي کني
ميشينه,مي شينه
ميدن,مي دن
اينقدر,اين قدر
برآشفت,بر آشفت
ميافته,مي افته
نگهداري,نگه داري
جالباسي,جا لباسي
شکرگزاری,شکر گزاری
بردارد,بر دارد
باتکبر,با تکبر
ستمگریهای,ستم گری های
نظرانهی,نظرانه ی
همعهدهای,هم عهد های
جنایتکارش,جنایت کارش
گهگاه,گه گاه
چندشنبه,چند شنبه
مهرانگیز,مهر انگیز
شرارتآمیز,شرارت آمیز
دولتعوامل,دولت عوامل
بیاعتباری,بی اعتباری
نمیتوانستند,نمی توانستند
دولتهایی,دولت هایی
روتختی,رو تختی
زد;,زد
رقصهای,رقص های
راسخت,را سخت
مقواها,مقوا ها
رسواترین,رسوا ترین
ورمیآید,ور می آید
خورده_بودند,خورده بودند
تجزیهی,تجزیه ی
میپاید,می پاید
رودخانههای,رودخانه های
دلگیر,دل گیر
دریاها,دریا ها
تاثرانگیز,تاثر انگیز
برابریخواهی,برابری خواهی
دیندار,دین دار
اعادهی,اعاده ی
اسکیباز,اسکی باز
آنوقت,آن وقت
روزنهای,روزنه ای
موتورپیک,موتور پیک
نقلیهی,نقلیه ی
بدتحت,بد تحت
وسیلهای,وسیله ای
خانوادهای,خانواده ای
آتشفشان,آتش فشان
بالحنی,با لحنی
تختهگاز,تخته گاز
لپهای,لپه ای
خاموشباش,خاموش باش
عشیرهای,عشیره ای
پافشاری,پا فشاری
پشتهی,پشته ی
اورا,او را
سرحدات,سر حدات
برابرهی,برابره ی
ماهرانهی,ماهرانه ی
اوتدریجا,او تدریجا
تحملناپذیری,تحمل نا پذیری
خواهم_متخصص,خواهم متخصص
چمدانهای,چمدان های
خواهیم_چند,خواهیم چند
غافگیر,غافل گیر
درمانهایی,درمان هایی
توحیدخانه,توحید خانه
ششها,شش ها
نمیرسه,نمی رسه
اغواگرانهای,اغواگرانه ای
خونهی,خونه ی
بچهام,بچه ام
مردهایش,مرد هایش
قورمهسبزى,قورمه سبزى
تهدیگ,ته دیگ
عالیقاپو,عالی قاپو
مىكنم,می كنم
مىگوید,می گوید
میدود,می دود
یهجا,یه جا
صدقهاش,صدقه اش
لباسهایش,لباس هایش
حلقهاش,حلقه اش
اسلحهای,اسلحه ای
زبالهها,زباله ها
برمیگردونه,بر می گردونه
اصیلزاده,اصیل زاده
میهماننواز,میهمان نواز
آنگلوساکسونها,آنگلوساکسون ها
خواهم_بلکه,خواهم بلکه
اعجابانگیز,اعجاب انگیز
بچهدار,بچه دار
بازگشتند,باز گشتند
میسپارم,می سپارم
اکثرشهرهای,اکثر شهر های
همنوای,هم نوای
سرمازده,سرما زده
پرخشونت,پر خشونت
غیراخلاقی,غیر اخلاقی
دودها,دود ها
اعلامیهی,اعلامیه ی
دوخته_است,دوخته است
سنگوارهدار,سنگواره دار
دررفتگی,در رفتگی
توخالی,تو خالی
دانگهای,دانگ های
نورهایی,نور هایی
توجیحناپذیر,توجیح نا پذیر
سانحهی,سانحه ی
کهمسئله,که مسئله
خواهی_ماند,خواهی ماند
نزده_بود,نزده بود
سیاستچیان,سیاست چیان
کاسته_شد,کاسته شد
خیسخیس,خیس خیس
لزره,لرزه
مهرهداران,مهره داران
بیمهرگان,بی مهرگان
ناجوانمردانهای,نا جوانمردانه ای
آمیخته_است,آمیخته است
حقالتالیف,حق التالیف
یهوقت,یه وقت
سرودها,سرود ها
منطقهاند,منطقه اند
لودادن,لو دادن
زودگذر,زود گذر
دیدارها,دیدار ها
ازجا,از جا
تکهپارههای,تکه پاره های
پراکنده_شده_بود,پراکنده شده بود
یکپارچگی,یک پارچگی
دریچهای,دریچه ای
میدانستند,می دانستند
آلودگیها,آلودگی ها
گوشتبری,گوشت بری
بادبانهای,بادبان های
گستردهاش,گسترده اش
بسبب,به سبب
شکوهی,شکوه ی
چیکارها,چی کار ها
مشکلپسند,مشکل پسند
پدیدهی,پدیده ی
میسوزاند,می سوزاند
دیدهایم,دیده ایم
برافتادهی,بر افتاده ی
جوانمرگ,جوان مرگ
مشقتبار,مشقت بار
اظهارنامهی,اظهارنامه ی
پاسبانهای,پاسبان های
زمرهی,زمره ی
وارهی,واره ی
ادارهای,اداره ای
چندباره,چند باره
بدلخواه,بدل خواه
واکهی,وا که ی
کلیهها,کلیه ها
دغلبازانهی,دغلبازانه ی
ماهیچهپزی,ماهیچه پزی
راگرفتند,را گرفتند
جیرهخوارنش,جیره خوارانش
بیوقفه,بی وقفه
کوشیدهاند,کوشیده اند
ریشهکن,ریشه کن
مشکلترین,مشکل ترین
لبهای,لب های
نخوان;,نخوان
اونروز,اون روز
خطکش,خط کش
کهگلودرد,که گلودرد
تپهها,تپه ها
میخوانم,می خوانم
نزدیکیها,نزدیکی ها
کمطاقت,کم طاقت
عقبگرد,عقب گرد
دودکش,دود کش
تاسهایی,تاس هایی
نقطههای,نقطه های
پارکتهای,پارکت های
همنشینی,هم نشینی
خردهگیریهای,خرده گیری های
همهمشروب,همه مشروب
اقتصادیپیامدهای,اقتصادی پیامد های
منتظرهای,منتظر های
صدسال,صد سال
زلزلهزدگان,زلزله زدگان
شعبهی,شعبه ی
همیشهاش,همیشه اش
تعمیرگاه,تعمیر گاه
طعمهی,طعمه ی
پیوستهای,پیوسته ای
وسوسهانگیز,وسوسه انگیز
درختها,درخت ها
انکارهای,انکار های
فروریختن,فرو ریختن
زبانهی,زبانه ی
همهگیر,همه گیر
شهوتانگیز,شهوت انگیز
پرحرف,پر حرف
پیشگامی,پیش گامی
پولهایی,پول هایی
شاعرانهی,شاعرانه ی
اربابمنشانه,ارباب منشانه
داعیهی,داعیه ی
بزرگترهایشان,بزرگ تر هایشان
اسطورههای,اسطوره های
اسلوبمندی,اسلوب مندی
العادهای,العاده ای
حماسهی,حماسه ی
حیلهای,حیله ای
شترگلو,شتر گلو
گیریها,گیری ها
درههای,دره های
واژههایی,واژه هایی
چیرهدستی,چیره دستی
اللهبختی,الله بختی
دوستانهی,دوستانه ی
چهارجانبهی,چهار جانبه ی
مشاجرههای,مشاجره های
دندانشکنی,دندان شکنی
آبفشانهی,آبفشانه ی
نهنگها,نهنگ ها
احضاریهی,احضاریه ی
نه_بودی,نه بودی
خواهم_من,خواهم من
خواهیم_تا,خواهیم تا
جاوااسکریپت,جاوا اسکریپت
علاوهی,علاوه ی
شخصیتهای,شخصیت های
بیعاطفه,بی عاطفه
صحراها,صحرا ها
کشتیها,کشتی ها
خشمانگیز,خشم انگیز
قانونگذاری,قانون گذاری
بروشنی,به روشنی
بالهای,بال های
غیرفعال,غیر فعال
وبگاهها,وبگاه ها
دلباختهی,دلباخته ی
جاواسکریپت,جاوا اسکریپت
گندزدای,گند زدای
پرتابههای,پرتابه های
اسمهای,اسم های
برنوشته,بر نوشته
طنینانداز,طنین انداز
شنیدهام,شنیده ام
گرانبهایی,گران بهایی
چندوجهی,چند وجهی
چسبیده_بود,چسبیده بود
بوالهوسیهای,بوالهوسی های
ودیعهی,ودیعه ی
اعتصابگران,اعتصاب گران
عمیقتر,عمیق تر
پربینندهترین,پر بیننده ترین
غرفهها,غرفه ها
خواهیم_جنگید,خواهیم جنگید
میچریدند,می چریدند
زبالههای,زباله های
خواهم_گفت,خواهم گفت
میماندند,می ماندند
پیشخدمتها,پیشخدمت ها
نابینایان,نا بینایان
بچگانهی,بچگانه ی
مرحلهای,مرحله ای
خفتآور,خفت آور
بچهات,بچه ات
لغتهای,لغت های
بیستهزار,بیست هزار
چشمهایش,چشم هایش
میشمردند,می شمردند
ورطهی,ورطه ی
پرشوری,پر شوری
پزشکها,پزشک ها
غژغژ,غژ غژ
خواهند_ماند,خواهند ماند
پاداشهای,پاداش های
یکسره,یک سره
خواهی_اظهار,خواهی اظهار
دوبرابر,دو برابر
پرواضح,پر واضح
شیفتهی,شیفته ی
زنگولهها,زنگوله ها
منطقهی,منطقه ی
گرمتری,گرم تری
غیرمنتظره,غیر منتظره
همخوانگرا,هم خوان گرا
رشوهخوار,رشوه خوار
کلیدهای,کلید های
برپایهی,بر پایه ی
گلهی,گله ی
شکستهها,شکسته ها
حیاتیترین,حیاتی ترین
تکهتکه,تکه تکه
جانداران,جان داران
بوتهها,بوته ها
میجنبیدند,می جنبیدند
بیسخن,بی سخن
روزنامههای,روزنامه های
نیمسال,نیم سال
بدرقهی,بدرقه ی
کوبیده_شده_بود,کوبیده شده بود
بیمحلی,بی محلی
وانگلیس,و انگلیس
پشتسر,پشت سر
فرشها,فرش ها
انتقادهای,انتقاد های
حلبیآبادها,حلبی آباد ها
کمونیستهای,کمونیست های
شاهزادهی,شاهزاده ی
نه_ای,نه ای
نميخوره-,نميخوره
ميدانيم,مي دانيم
ميشونم,مي شونم
اونجايي,اون جايي
وبه,و به
اينها,اين ها
پُرفشاری,پُر فشاری
قرصها,قرص ها
آنتیبیوتیکها,آنتی بیوتیک ها
بسته_باشند,بسته باشند
اشارههای,اشاره های
شایعهها,شایعه ها
مسئلههای,مسئله های
وقفهای,وقف های
نمیكنه,نمی كنه
بزن;,بزن
آمدهای,آمده ای
کمبختترند,کم بخت ترند
پولهایش,پول هایش
کلاسهای,کلاس های
حررات,حرارت
گداخته_شدند,گداخته شدند
پوستکلفت,پوست کلفت
هواگیر,هوا گیر
چندتایی,چند تایی
بیجهت,بی جهت
چپیها,چپی ها
ادلهی,ادله ی
اسلحهی,اسلحه ی
دهاتیوار,دهاتی وار
بربرها,بربر ها
دروازهی,دروازه ی
درعین,در عین
واهمههایی,واهمه هایی
کاشته_است,کاشته است
نمیشناسم,نمی شناسم
بلیطها,بلیط ها
نامطلوبی,نا مطلوبی
توبهآمیزی,توبه آمیزی
آویخته_است,آویخته است
سفالینههای,سفالینه های
کرکدار,کرک دار
قرضهی,قرضه ی
جلیقههای,جلیقه های
بود;,بود
ذرتهای,ذرت های
دشتها,دشت ها
خفهام,خفه ام
خورها,خور ها
پوکربازها,پوکرباز ها
خاکخواری,خاک خواری
تازهواردها,تازه وارد ها
نههزار,نه هزار
سلطهگرا,سلطه گرا
زینتهایی,زینت هایی
خواهیم_برد,خواهیم برد
نیمبسته,نیم بسته
درختکاری,درخت کاری
درکنجی,در کنجی
سفارتخانههای,سفارتخانه های
فرورفتگیهای,فرو رفتگی های
تلوتلو,تلو تلو
سربازهای,سرباز های
نابینایت,نا بینا یت
مشتریهای,مشتری های
بیانتهایی,بیانت هایی
ریشتراشی,ریش تراشی
رنگینتنهای,رنگین تنهای
همساخت,هم ساخت
بمبگذاری,بمب گذاری
بنبرگ,بن برگ
بازنمودی,باز نمودی
غیریکنواخت,غیر یکنواخت
چلچلههایی,چلچله هایی
شاقترین,شاق ترین
زودگذری,زود گذری
یگدیگر,یک دیگر
جامهدان,جامه دان
کولیها,کولی ها
سرهایمان,سر هایمان
غیرملی,غیر ملی
برانگیختن,بر انگیختن
بیمارستانها,بیمارستان ها
برونمرزی,برون مرزی
دودستی,دو دستی
شیرجهی,شیرجه ی
داده_شده_بود,داده شده بود
صادقانهی,صادقانه ی
رفته_بودیم,رفته بودیم
نکرده_اند,نکرده اند
مفیدتر,مفید تر
میزکاری,میز کاری
ویندوزهای,ویندوز های
یادگرفتن,یاد گرفتن
نخواهید_شد,نخواهید شد
هرچقدر,هر چقدر
نوشیده_باشید,نوشیده باشید
اثرانگشت,اثر انگشت
اینسایدرهای,اینسایدر های
شمسالدین,شمس الدین
کامپیوترهای,کامپیوتر های
عاملهای,عامل های
کاربرپسند,کاربر پسند
فرابگیرید,فرا بگیرید
بدنامی,بد نامی
خرسها,خرس ها
زمستانخوابی,زمستان خوابی
گلآلود,گل آلود
آویخته_شد,آویخته شد
پیشانهاش,پیشانه اش
آبیپوشهای,آبی پوش های
میسیسیپی,میسی سیپی
بوسیدهاند,بوسیده اند
برقگیر,برق گیر
نکوهشآمیز,نکوهش آمیز
میآزرد,می آزرد
بومیهای,بومی های
سرفهاش,سرفه اش
